Title,Company,Location,Link
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-workflow-automatisierung-digital-transformation-all-genders-at-mtu-maintenance-hannover-4209958838?position=1&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=G8ONwu3NJ3LEOX9hU%2FktUw%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-in-research-m-w-d-ki-forschung-pflege-at-voize-4201641620?position=2&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=qwC0BGB9%2FnBqeQyWwsOD2A%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-im-bereich-dokumentenerstellung-m-w-d-at-tennet-germany-4210558003?position=3&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=emUclEACF9j%2BTZNVWR7d0Q%3D%3D
N/A,N/A,"Sarstedt, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-im-kaufm%C3%A4nnischen-bereich-working-student-in-the-commercial-sector-m-f-d-at-kelvion-4206541377?position=4&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=TRzwvGLH1I1XeLVHIYhOXg%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-praktikant-corporate-governance-systems-automotive-m-w-d-at-deloitte-2839217430?position=5&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=CXayPAYo%2BuKIwYbzvD2Q5g%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/praktikum-%E2%80%93-entwicklung-einer-%C3%BCbersicht-f%C3%BCr-automatisierungsl%C3%B6sungen-ref82225u-at-continental-4214288505?position=6&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=yRkQJVQjnbNUpwyGz9KwDg%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/internship-development-of-an-automation-solutions-catalogue-ref82225u-at-continental-4214290452?position=7&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=trupa%2BNGoqYiQmZU8gIwLQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-m-w-d-dokumentenmanagement-freileitungsbau-mit-schwerpunkt-standards-und-kommunikation-at-tennet-germany-4217132629?position=8&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=BOrKhshuDgGt1mwCKjs5MA%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-m-w-d-dokumentenmanagement-freileitungsbau-mit-schwerpunkt-standards-und-kommunikation-at-tennet-germany-4217131752?position=9&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=CjnSTsB5byvYS8PUnD0fTw%3D%3D
N/A,N/A,"Lehrte, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-statik-im-bereich-bau-m-w-d-at-tennet-germany-4201426139?position=10&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=mXcDbBd4KepIe18choDkrw%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-data-science-m-w-d-at-wertgarantie-group-4198332977?position=11&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=xAEazem3TKKrj6pJ94WyBw%3D%3D
N/A,N/A,"Langenhagen, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-data-science-business-analytics-all-genders-at-mtu-maintenance-4033166382?position=12&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=HK9vhBBtHm9t9VEUA97crw%3D%3D
N/A,N/A,Hannover-Braunschweig-Göttingen-Wolfsburg Region,https://de.linkedin.com/jobs/view/praktikum-entwicklung-batteriesysteme-data-analytics-w-m-d-at-volkswagen-group-4208048692?position=13&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=X0OIDbHt9pRstvVfo0jHZA%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-in-data-science-large-language-models-2381-at-hannover-re-4164300440?position=14&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=LrwkEf24JPoup5X%2FmhFG7Q%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudierende-im-bereich-data-insights-reporting-datenanalyse-m-w-d-at-nord-lb-4196436229?position=15&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=93Xha6cEGwlbV7AOzvadJw%3D%3D
N/A,N/A,"Langenhagen, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-data-science-digital-maintenance-solutions-all-genders-at-mtu-maintenance-4033165429?position=16&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=iw1fc7XGLA8rjcL0yyjSOQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-sustainability-analytics-digital-solutions-w-m-d-at-e-on-digital-technology-4187593201?position=17&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=FtCWOpkYs%2B4GRSpvEIb0pQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/corporate-academy-student-m-w-d-business-intelligence-data-warehousing-at-scalefree-4219714355?position=18&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=l%2FcRrRkHgEZuwGlkCIICrQ%3D%3D
N/A,N/A,"Hannover, Lower Saxony, Germany",https://de.linkedin.com/jobs/view/werkstudent-praktikant-data-analytics-m-w-d-in-hannover-at-deloitte-3599956668?position=19&pageNum=0&refId=EOIVh85hX3k413NE0D6T2A%3D%3D&trackingId=3BCeNIYLvPscUWZ7x68qJQ%3D%3D
